n,m,threads_per_block,cpu_row_time,cpu_col_time,cpu_reduce_row_time,cpu_reduce_col_time,gpu_row_time,gpu_col_time,gpu_reduce_row_time,gpu_reduce_col_time,cpu_row_sum,cpu_col_sum,gpu_row_sum,gpu_col_sum,row_speedup,col_speedup,row_reduce_speedup,col_reduce_speedup,row_error,col_error
1000,1000,4,0.000510,0.000855,0.000001,0.000001,0.009361,0.002097,0.000758,0.000451,9999848.000000,9999847.000000,9999847.000000,9999851.000000,0.05,0.41,0.00,0.00,0.00000010,0.00000040
1000,1000,8,0.000509,0.000796,0.000001,0.000001,0.005657,0.002715,0.000522,0.000615,9999848.000000,9999847.000000,9999851.000000,9999850.000000,0.09,0.29,0.00,0.00,0.00000030,0.00000030
1000,1000,16,0.000517,0.000811,0.000001,0.000001,0.005226,0.002131,0.000949,0.000687,9999848.000000,9999847.000000,9999851.000000,9999852.000000,0.10,0.38,0.00,0.00,0.00000030,0.00000050
1000,1000,32,0.000535,0.000846,0.000001,0.000001,0.005645,0.002104,0.000706,0.000597,9999848.000000,9999847.000000,9999853.000000,9999852.000000,0.09,0.40,0.00,0.00,0.00000050,0.00000050
1000,1000,64,0.000526,0.000831,0.000001,0.000001,0.006288,0.002507,0.000643,0.000564,9999848.000000,9999847.000000,9999852.000000,9999852.000000,0.08,0.33,0.00,0.00,0.00000040,0.00000050
1000,1000,128,0.000521,0.000785,0.000001,0.000001,0.005618,0.002187,0.000562,0.000834,9999848.000000,9999847.000000,9999852.000000,9999853.000000,0.09,0.36,0.00,0.00,0.00000040,0.00000060
1000,1000,256,0.000514,0.000819,0.000001,0.000001,0.005032,0.002334,0.000594,0.000591,9999848.000000,9999847.000000,9999852.000000,9999853.000000,0.10,0.35,0.00,0.00,0.00000040,0.00000060
1000,1000,512,0.000536,0.000846,0.000001,0.000001,0.005985,0.002588,0.000620,0.000550,9999848.000000,9999847.000000,9999850.000000,9999854.000000,0.09,0.33,0.00,0.00,0.00000020,0.00000070
1000,1000,1024,0.000525,0.000836,0.000001,0.000001,0.005970,0.002261,0.000708,0.000466,9999848.000000,9999847.000000,9999848.000000,9999847.000000,0.09,0.37,0.00,0.00,0.00000000,0.00000000
5000,5000,4,0.013275,0.132209,0.000002,0.000002,0.049589,0.028401,0.000617,0.000608,249969200.000000,249969232.000000,249969008.000000,249968976.000000,0.27,4.66,0.00,0.00,0.00000077,0.00000102
5000,5000,8,0.012994,0.133470,0.000003,0.000003,0.031724,0.027974,0.000590,0.000579,249969200.000000,249969232.000000,249969200.000000,249969280.000000,0.41,4.77,0.00,0.00,0.00000000,0.00000019
